UF_ESCOLA,ESFERA_GOVERNO,MUNICIPIO_ESCOLA,LOCALIZACAO_ESCOLA,NOME_ESCOLA,ALUNADO,TOTAL_RECEBIDO_ADESAO
AC,Estadual,ACRELANDIA,Rural,ESC SANTA LUCIA III,60,"6,060.00"
AC,Estadual,BRASILEIA,Urbana,ESC CEL MANOEL FONTENELE DE CASTRO,40,"2,760.00"
AC,Estadual,BRASILEIA,Urbana,ESC GETULIO VARGAS,80,"5,520.00"
AC,Estadual,BRASILEIA,Urbana,ESC INSTITUTO ODILON PRATAGI,40,"2,760.00"
AC,Estadual,BRASILEIA,Rural,ESC VALERIA BISPO SABALA,40,"4,040.00"
AC,Estadual,CRUZEIRO DO SUL,Rural,ESC 7 DE SETEMBRO,80,"8,080.00"
AC,Estadual,CRUZEIRO DO SUL,Urbana,ESC ANSELMO MAIA DE CARVALHO,80,"5,520.00"
AC,Municipal,CRUZEIRO DO SUL,Rural,ESC ANTONIO FERREIRA GOMES,120,"34,920.00"
AC,Municipal,CRUZEIRO DO SUL,Urbana,ESC ARTHUR MAIA DE CARVALHO,100,"21,180.00"
AC,Estadual,CRUZEIRO DO SUL,Rural,ESC AUGUSTO SEVERO,80,"8,080.00"
AC,Estadual,CRUZEIRO DO SUL,Urbana,ESC CEL CONTREIRAS,80,"3,312.00"
AC,Estadual,CRUZEIRO DO SUL,Urbana,ESC COLEGIO CRISTAO CRUZEIRO,80,"5,520.00"
AC,Estadual,CRUZEIRO DO SUL,Urbana,ESC COMANDANTE BRAZ DE AGUIAR,120,"8,280.00"
AC,Estadual,CRUZEIRO DO SUL,Rural,ESC CORA CORALINA,80,"8,080.00"
AC,Municipal,CRUZEIRO DO SUL,Urbana,ESC CORAZITA NEGREIROS,120,"23,880.00"
AC,Municipal,CRUZEIRO DO SUL,Urbana,ESC DARCY BEZERRA,120,"23,880.00"
AC,Estadual,CRUZEIRO DO SUL,Urbana,ESC DIVINA PROVIDENCIA,80,"5,520.00"
AC,Municipal,CRUZEIRO DO SUL,Urbana,ESC EMIDIO BRAGA DE VASCONCELOS,60,"11,940.00"
AC,Municipal,CRUZEIRO DO SUL,Urbana,ESC FRANCISCA BARROS DE OLIVEIRA,40,"9,240.00"
AC,Municipal,CRUZEIRO DO SUL,Urbana,ESC FRANCISCA RITA DE CASSIA LIMA PINTO,120,"23,880.00"
AC,Estadual,CRUZEIRO DO SUL,Rural,ESC GENERAL RONDON,48,"6,000.00"
AC,Estadual,CRUZEIRO DO SUL,Urbana,ESC GOVERNADOR HUGO CARNEIRO,60,"4,140.00"
AC,Estadual,CRUZEIRO DO SUL,Rural,ESC HUMBERTO DE CAMPOS,80,"8,080.00"
AC,Municipal,CRUZEIRO DO SUL,Urbana,ESC IRMA DIANA,80,"16,560.00"
AC,Municipal,CRUZEIRO DO SUL,Rural,ESC JOAO BUSSONS,100,"31,020.00"
AC,Estadual,CRUZEIRO DO SUL,Urbana,ESC JOAO KUBITSCHEK,100,"6,900.00"
AC,Estadual,CRUZEIRO DO SUL,Rural,ESC JOAQUIM NOGUEIRA,60,"6,060.00"
