UF_ESCOLA,ESFERA_GOVERNO,MUNICIPIO_ESCOLA,LOCALIZACAO_ESCOLA,NOME_ESCOLA,ALUNADO,TOTAL_RECEBIDO_ADESAO
BA,Estadual,ABARE,Rural,EE - COLEGIO ESTADUAL JOSEFINA GOMES DE ARAUJO - DIST DE IBO,30,"6,318.00"
BA,Municipal,ABARE,Rural,ESCOLA MUNICIPAL DE 1º GRAU CORONEL JOAO BERNARDES,202,"22,130.00"
BA,Municipal,ABARE,Rural,ESCOLA MUNICIPAL JOSINO SOARES DA SILVA,84,"16,740.00"
BA,Municipal,ABARE,Urbana,GRUPO ESCOLAR ESTEVAO SOARES,277,"19,305.00"
BA,Municipal,ABARE,Rural,GRUPO ESCOLAR ISABEL DA SILVA RESENDE,110,"12,070.00"
BA,Municipal,ACAJUTIBA,Urbana,ESCOLA MUNICIPAL ANTONIO CARLOS MAGALHAES,150,"31,050.00"
BA,Municipal,ACAJUTIBA,Rural,ESCOLA MUNICIPAL ANTONIO JOAQUIM OLIVEIRA,87,"27,945.00"
BA,Municipal,ACAJUTIBA,Rural,ESCOLA MUNICIPAL DAMASIO RODRIGUES DE ANDRADE,75,"24,165.00"
BA,Municipal,ACAJUTIBA,Urbana,ESCOLA MUNICIPAL DOUTOR GERALDO VASCONCELOS DE SEIXAS PEREIRA,100,"21,180.00"
BA,Municipal,ACAJUTIBA,Rural,ESCOLA MUNICIPAL JOAO ALVES DOS SANTOS,90,"27,990.00"
BA,Municipal,ACAJUTIBA,Rural,ESCOLA MUNICIPAL JOSE DE SOUZA MAIA,50,"17,310.00"
BA,Municipal,ACAJUTIBA,Urbana,ESCOLA MUNICIPAL JOSE RAMOS DE ARAUJO,77,"16,515.00"
BA,Municipal,ACAJUTIBA,Urbana,ESCOLA MUNICIPAL NELSON FALHEIROS FROES,54,"11,850.00"
BA,Municipal,ACAJUTIBA,Rural,ESCOLA MUNICIPAL PROFESSORA ALZIRA FERREIRA BARROS,33,"13,455.00"
BA,Municipal,ACAJUTIBA,Urbana,ESCOLA MUNICIPAL PROFESSORA EUFROSINA DE ANDRADE CRUZ,128,"28,320.00"
BA,Municipal,ACAJUTIBA,Urbana,ESCOLA MUNICIPAL PROFESSORA JERUZA LIMA DOS SANTOS,120,"23,880.00"
BA,Municipal,ACAJUTIBA,Rural,ESCOLA MUNICIPAL PROFESSORA MARIA DA GLORIA OLIVEIRA DO AMOR,60,"17,460.00"
BA,Municipal,ACAJUTIBA,Urbana,ESCOLA MUNICIPAL PROFESSORA RAIMUNDA CORREIA DOS SANTOS,109,"23,715.00"
BA,Municipal,ACAJUTIBA,Rural,ESCOLA MUNICIPAL VALERIANO GOMES DE CARVALHO,86,"27,930.00"
BA,Municipal,ADUSTINA,Urbana,COLEGIO MUN DE ADUSTINA,558,"67,230.00"
BA,Municipal,ADUSTINA,Rural,ESC MUNICIPAL NOSSA SENHORA DA CONCEICAO,462,"83,646.00"
BA,Municipal,ADUSTINA,Rural,ESCOLA MUNICIPAL BELA VISTA,164,"31,284.00"
BA,Municipal,ADUSTINA,Urbana,ESCOLA MUNICIPAL PROFESSORA MARIA DA ANUNCIACAO ROCHA,224,"28,512.00"
BA,Municipal,ADUSTINA,Rural,ESCOLA MUNICIPAL SANTO ANTONIO,138,"25,002.00"
BA,Municipal,AGUA FRIA,Urbana,COLEGIO MUNICIPAL JOAO LEAO DE ALMEIDA,341,"47,700.00"
BA,Municipal,AGUA FRIA,Urbana,COLEGIO MUNICIPAL RUBEM CARNEIRO DA SILVA,400,"68,880.00"
BA,Municipal,AGUA FRIA,Rural,ESC M AMONIO LOPES CERQUEIRA,54,"17,370.00"
BA,Municipal,AGUA FRIA,Rural,ESC M GERALDO SANTANA,30,"10,530.00"
BA,Municipal,AGUA FRIA,Rural,ESC MUL EVANILDO MASCARENHAS DE ALMEIDA,104,"34,680.00"
BA,Municipal,AGUA FRIA,Rural,ESC MUL PEDRO RIBEIRO DOS SANTOS,28,"10,500.00"
BA,Municipal,AGUA FRIA,Urbana,ESCOLA D JACKSON BERENGUER PRADO,248,"31,320.00"
BA,Municipal,AGUA FRIA,Rural,ESCOLA LAURENCIO CARVALHO DE ARAUJO,29,"10,515.00"
BA,Municipal,AGUA FRIA,Rural,ESCOLA M BALBINO L DE ALMEIDA,70,"24,090.00"
BA,Municipal,AGUA FRIA,Rural,ESCOLA M D PEDRO I,41,"17,175.00"
BA,Municipal,AGUA FRIA,Rural,ESCOLA M LANDULFO SILVA SANTOS,58,"17,430.00"
BA,Municipal,AGUA FRIA,Rural,ESCOLA MUL FABIO HENRIQUE DE CERQUEIRA,71,"24,105.00"
BA,Municipal,AGUA FRIA,Rural,ESCOLA MUL JOANIRA MARIA LIMA,33,"13,455.00"
BA,Municipal,AGUA FRIA,Rural,ESCOLA MUL SAO JOSE,45,"17,235.00"
BA,Municipal,AGUA FRIA,Rural,ESCOLA MUNICIPAL MARCELINO LEANDRO DOS SANTOS,58,"13,530.00"
BA,Municipal,AGUA FRIA,Urbana,ESCOLA MUNICIPAL MARIA DE LOURDES CARNEIRO SANTOS,162,"28,260.00"
BA,Municipal,AGUA FRIA,Rural,ESCOLA MUNICIPAL NOSSA SENHORA DA CONCEICAO,220,"58,890.00"
BA,Municipal,AGUA FRIA,Rural,ESCOLA MUNICIPAL PROª MARIA HELENA ARAUJO BISPO,216,"48,375.00"
BA,Municipal,AGUA FRIA,Rural,ESCOLA MUNICIPAL REGINALDO CERQUEIRA SANTOS,44,"10,440.00"
BA,Municipal,AGUA FRIA,Rural,ESC PERCILIA SENA OLIVEIRA,49,"17,295.00"
BA,Municipal,ALAGOINHAS,Urbana,CENTRO EDUCACIONAL MURILO COELHO CAVALCANTI,52,"11,820.00"
BA,Municipal,ALAGOINHAS,Urbana,COLEGIO MUNICIPAL DE ALAGOINHAS,500,"100,140.00"
BA,Municipal,ALAGOINHAS,Rural,COLEGIO MUNICIPAL DR JAIRO AZI,150,"45,450.00"
BA,Municipal,ALAGOINHAS,Rural,COLEGIO MUNICIPAL MIGUEL SANTOS FONTES,163,"41,685.00"
BA,Estadual,ALAGOINHAS,Urbana,EE - COLEGIO DA POLICIA MILITAR - CPM PROFESSOR CARLOS ROSA,250,"31,338.00"
BA,Estadual,ALAGOINHAS,Urbana,EE - COLEGIO ESTADUAL BRAZILINO VIEGAS,150,"31,050.00"
BA,Estadual,ALAGOINHAS,Urbana,EE - COLEGIO ESTADUAL DEPUTADO LUIS EDUARDO MAGALHAES,150,"23,760.00"
BA,Estadual,ALAGOINHAS,Urbana,EE - COLEGIO ESTADUAL DOUTOR MAGALHAES NETO,140,"28,500.00"
BA,Estadual,ALAGOINHAS,Rural,EE - COLEGIO ESTADUAL LEONCIO PEREIRA DOS SANTOS - POV ESTEVAO,93,"30,915.00"
BA,Estadual,ALAGOINHAS,Urbana,EE - COLEGIO ESTADUAL LUIZ NAVARRO DE BRITO,300,"59,700.00"
BA,Estadual,ALAGOINHAS,Urbana,EE - COLEGIO ESTADUAL MARIA JOSE BASTOS SILVA,100,"21,180.00"
BA,Estadual,ALAGOINHAS,Urbana,EE - COLEGIO ESTADUAL SAO FRANCISCO,200,"28,440.00"
BA,Estadual,ALAGOINHAS,Urbana,EE - ESCOLA ALIRIO AFONSO DE ASSIS,200,"24,264.00"
BA,Estadual,ALAGOINHAS,Urbana,EE - ESCOLA DOS RODOVIARIOS,150,"31,050.00"
BA,Estadual,ALAGOINHAS,Urbana,EE - ESCOLA ESTADUAL OSCAR CORDEIRO,60,"11,940.00"
BA,Estadual,ALAGOINHAS,Urbana,EE - ESCOLA PROFESSOR JULIO LEAL ARAUJO,80,"9,936.00"
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL ALAGOINHAS IV,120,"23,880.00"
BA,Municipal,ALAGOINHAS,Rural,ESCOLA MUNICIPAL ALAIDE SANTANA SANTOS,29,"10,515.00"
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL ALVARO MULLER,151,"32,985.00"
BA,Municipal,ALAGOINHAS,Rural,ESCOLA MUNICIPAL AMANDO ALVES DE AZEVEDO,88,"8,005.00"
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL COMUNITARIA NOVA ESPERANCA,226,"47,550.00"
BA,Municipal,ALAGOINHAS,Rural,ESCOLA MUNICIPAL DOM AVELAR BRANDAO VILELA,100,"31,020.00"
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL ERALDO TINOCO DE MELO,103,"23,625.00"
BA,Municipal,ALAGOINHAS,Rural,ESCOLA MUNICIPAL ERICO VERISSIMO,31,"13,425.00"
BA,Municipal,ALAGOINHAS,Rural,ESCOLA MUNICIPAL GONCALO MUNIZ,60,"17,460.00"
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL HERMES DE CARVALHO,65,"4,055.00"
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL IRENE ANDRADE DE ASSIS,100,"21,180.00"
