ANO_REFERENCIA,UF_ESCOLA,MUNICIPIO_ESCOLA,ESFERA_GOVERNO,LOCALIZACAO_ESCOLA,INEP_ESCOLA,NOME_ESCOLA,ALUNADO,TOTAL_RECEBIDO_ADESAO,,,
2016,PR,PALMITAL,Estadual,Rural,41597940,ZUMBI DOS PALMARES C E C EF M,30,R$ 6.318,0,,
2016,CE,VARZEA ALEGRE,Municipal,Urbana,23148799,ZULMIRA SIEBRA LEITE EEIEF,40,R$ 9.240,0,,
2016,SP,AGUAI,Municipal,Urbana,35242469,ZULMIRA MORAES LEGASPE MAMEDE EMEF,80,R$ 9.936,0,,
2016,PR,BANDEIRANTES,Municipal,Rural,41043634,ZULMIRA DE ALBUQUERQUE E R M EI EF,80,R$ 8.080,0,,
2016,SP,SAO PAULO,Estadual,Urbana,35005061,ZULMIRA CAVALHEIRO FAUSTINO DONA,75,R$ 5.495,0,,
2016,SP,SANTOS,Estadual,Urbana,35046760,ZULMIRA CAMPOS PROFESSORA,300,R$ 20.700,0,,
2016,SP,PEDREIRA,Municipal,Urbana,35441570,ZULMAR DEOCLECIA PINTOR BERNARDES PROFA EMEF,150,R$ 6.594,0,,
2016,SP,MIRANTE DO PARANAPANEMA,Estadual,Urbana,35032943,ZULENKA RAPCHAN PROFESSORA,60,R$ 4.140,0,,
2016,PR,RIBEIRAO CLARO,Municipal,Urbana,41048091,ZULEIKA D C CASSAR E M EI EF,53,R$ 2.463,0,,
2016,PR,SAO MATEUS DO SUL,Estadual,Urbana,41374223,ZULEIDE S PORTES C E PROF EF M,30,R$ 4.302,0,,
2016,CE,CANINDE,Municipal,Rural,23238437,ZOROBABEL DE PAULA LIMA ESC MUL,48,R$ 10.368,0,,
2016,SP,MANDURI,Municipal,Urbana,35198705,ZOROASTRO ALVES PREFEITO EMEIEF,40,R$ 9.240,0,,
2016,SP,ITAPEVA,Municipal,Rural,35244041,ZITA FERRARI PROFA EM,81,R$ 17.430,0,,
2016,CE,RUSSAS,Municipal,Rural,23132205,ZINA MOREIRA EMEIEF,130,R$ 41.550,0,,
2016,SP,FRANCO DA ROCHA,Estadual,Urbana,35925482,ZILTON BICUDO PROF,60,R$ 2.484,0,,
2016,SP,TABAPUA,Municipal,Urbana,35228000,ZILDA SOARES BALDI PROFESSORA EMEF,130,R$ 28.350,0,,
2016,SP,PEDERNEIRAS,Municipal,Urbana,35436963,ZILDA MASCARO PROFA EMEF,40,R$ 2.760,0,,
2016,SP,GUARULHOS,Estadual,Urbana,35923771,ZILDA GRACA MARTINS DE OLIVEIRA PROFESSORA,140,R$ 9.660,0,,
2016,SP,DIADEMA,Municipal,Urbana,35437268,ZILDA GOMES DOS REIS DE ALMEIDA PROFA EM,560,R$ 67.248,0,,
2016,CE,MARANGUAPE,Municipal,Urbana,23185929,ZILDA DE BARROS DE MEDEIROS EMEF,120,R$ 23.880,0,,
2016,CE,QUIXADA,Municipal,Rural,23101016,ZILCAR DE SOUZA HOLANDA EEF,150,R$ 45.450,0,,
2016,SP,SAO JOSE DOS CAMPOS,Estadual,Urbana,35919724,ZILAH FERREIRA VIAGI PASSARELLI DE CAMPOS PROFESSORA,25,R$ 2.685,0,,
2016,SP,ATIBAIA,Estadual,Rural,35017929,ZILAH BARRETO PACITTI PROFESSORA,80,R$ 8.080,0,,
2016,CE,QUIXERAMOBIM,Municipal,Urbana,23102390,ZILA ZILDA CARNEIRO EEF,150,R$ 31.050,0,,
2016,CE,JUAZEIRO DO NORTE,Municipal,Urbana,23166142,ZILA BELEM EEF,120,R$ 23.880,0,,
2016,PR,PONTA GROSSA,Municipal,Urbana,41386426,ZILA B BACH E M PROFA EI EF,343,R$ 71.385,0,,
2016,SP,GUAIRA,Estadual,Urbana,35022433,ZEZINHO PORTUGAL,20,R$ 1.380,0,,
2016,SP,CUBATAO,Estadual,Urbana,35011642,ZENON CLEANTES DE MOURA PROFESSOR,80,R$ 5.520,0,,
2016,PR,PONTA GROSSA,Municipal,Urbana,41063554,ZENEIDA F SCHNIRMANN E M PROFA EI EF,183,R$ 40.185,0,,
2016,SP,MOCOCA,Estadual,Urbana,35901295,ZENAIDE PERETO RIBEIRO ROCHA PROFESSORA,200,R$ 40.440,0,,
